Work Status,Total,Total in Mil
Total:,"261,649,873",261.6
    16 to 19 years:,"16,992,661",17
        Worked in the past 12 months:,"7,958,660",8
"            Worked full-time, year-round","727,797",0.7
"            Worked less than full-time, year-round","7,230,863",7.2
        Did not work in the past 12 months,"9,034,001",9
    20 to 24 years:,"21,820,378",21.9
        Worked in the past 12 months:,"17,530,600",17.5
"            Worked full-time, year-round","7,164,119",7.2
"            Worked less than full-time, year-round","10,366,481",10.4
        Did not work in the past 12 months,"4,289,778",4.3
    25 to 44 years:,"86,831,842",86.8
        Worked in the past 12 months:,"73,491,785",73.5
"            Worked full-time, year-round","53,275,358",53.3
"            Worked less than full-time, year-round","20,216,427",20.2
        Did not work in the past 12 months,"13,340,057",13.3
    45 to 54 years:,"41,540,736",41.5
        Worked in the past 12 months:,"34,117,256",34.1
"            Worked full-time, year-round","25,941,487",25.9
"            Worked less than full-time, year-round","8,175,769",8.2
        Did not work in the past 12 months,"7,423,480",7.4
    55 to 64 years:,"42,101,439",42.1
        Worked in the past 12 months:,"28,741,541",28.7
"            Worked full-time, year-round","20,351,750",20.3
"            Worked less than full-time, year-round","8,389,791",8.4
        Did not work in the past 12 months,"13,359,898",13.4
    65 to 69 years:,"17,301,772",17.3
        Worked in the past 12 months:,"6,610,886",6.6
"            Worked full-time, year-round","3,252,399",3.3
"            Worked less than full-time, year-round","3,358,487",3.4
        Did not work in the past 12 months,"10,690,886",10.7
    70 years and over:,"35,061,045",35.1
        Worked in the past 12 months:,"4,731,127",4.7
"            Worked full-time, year-round","1,554,652",1.6
"            Worked less than full-time, year-round","3,176,475",3.2
        Did not work in the past 12 months,"30,329,918",30.3
,"727,797",
,"86,831,842",
