Job,Female Total Workers,Male Total Workers,Role: Who Dominates More?,Female Median Earnings,Male Median Earnings,Earnings: Who Dominates More?
Total:,47766259,62582789,Male Total Workers,"44,344","54,601",Male Median Earnings
    Chief executives,297861,886353,Male Total Workers,"120,255","155,236",Male Median Earnings
    General and operations managers,294618,647620,Male Total Workers,"62,376","81,811",Male Median Earnings
    Legislators,5490,7086,Male Total Workers,"56,063","78,048",Male Median Earnings
    Advertising and promotions managers,24942,21460,Female Total Workers,"68,038","86,335",Male Median Earnings
    Marketing managers,268066,183247,Female Total Workers,"75,819","101,105",Male Median Earnings
    Sales managers,144218,315541,Male Total Workers,"74,428","105,058",Male Median Earnings
    Public relations and fundraising managers,44227,22933,Female Total Workers,"77,212","89,905",Male Median Earnings
    Administrative services managers,35388,16325,Female Total Workers,"65,238","79,646",Male Median Earnings
    Facilities managers,19050,75884,Male Total Workers,"60,996","72,496",Male Median Earnings
    Computer and information systems managers,160971,416572,Male Total Workers,"102,590","118,427",Male Median Earnings
    Financial managers,624587,528715,Female Total Workers,"67,797","105,659",Male Median Earnings
    Compensation and benefits managers,13589,4443,Female Total Workers,"77,034","105,134",Male Median Earnings
    Human resources managers,212141,116443,Female Total Workers,"76,810","86,952",Male Median Earnings
    Training and development managers,26970,23890,Female Total Workers,"74,317","85,520",Male Median Earnings
    Industrial production managers,50996,192495,Male Total Workers,"75,308","84,084",Male Median Earnings
    Purchasing managers,94045,99802,Male Total Workers,"73,387","86,899",Male Median Earnings
"    Transportation, storage, and distribution managers",44130,193521,Male Total Workers,"56,678","57,538",Male Median Earnings
"    Farmers, ranchers, and other agricultural managers",55301,407547,Male Total Workers,"32,330","45,166",Male Median Earnings
    Construction managers,54297,640674,Male Total Workers,"66,826","78,565",Male Median Earnings
    Education and childcare administrators,513168,291258,Female Total Workers,"68,397","86,554",Male Median Earnings
    Architectural and engineering managers,16572,147453,Male Total Workers,"140,417","142,415",Male Median Earnings
    Food service managers,363900,429554,Male Total Workers,"35,122","47,314",Male Median Earnings
    Funeral home managers,2330,4349,Male Total Workers,"49,433","76,586",Male Median Earnings
    Entertainment and recreation managers,18767,28530,Male Total Workers,"55,560","68,852",Male Median Earnings
    Lodging managers,57583,54485,Female Total Workers,"46,577","56,693",Male Median Earnings
    Medical and health services managers,456279,179942,Female Total Workers,"71,194","92,649",Male Median Earnings
    Natural sciences managers,11217,8526,Female Total Workers,"78,317","110,162",Male Median Earnings
    Postmasters and mail superintendents,12452,11578,Female Total Workers,"72,723","80,619",Male Median Earnings
"    Property, real estate, and community association managers",241808,240803,Female Total Workers,"50,783","67,125",Male Median Earnings
    Social and community service managers,240783,101311,Female Total Workers,"57,106","70,578",Male Median Earnings
    Emergency management directors,3742,6777,Male Total Workers,"67,199","76,169",Male Median Earnings
"    Personal service managers, all other",10205,7851,Female Total Workers,"50,245","68,610",Male Median Earnings
"    Managers, all other",1210521,2291374,Male Total Workers,"71,324","91,168",Male Median Earnings
"    Agents and business managers of artists, performers, and athletes",13897,18546,Male Total Workers,"56,468","63,312",Male Median Earnings
"    Buyers and purchasing agents, farm products",2240,5596,Male Total Workers,"54,500","61,754",Male Median Earnings
"    Wholesale and retail buyers, except farm products",68436,69842,Male Total Workers,"46,950","45,499",Female Median Earnings
"    Purchasing agents, except wholesale, retail, and farm products",132655,119819,Female Total Workers,"54,744","63,110",Male Median Earnings
"    Claims adjusters, appraisers, examiners, and investigators",182896,123822,Female Total Workers,"52,950","65,503",Male Median Earnings
    Compliance officers,137911,123399,Female Total Workers,"67,569","76,660",Male Median Earnings
    Cost estimators,19067,110865,Male Total Workers,"51,642","71,310",Male Median Earnings
    Human resources workers,547791,195779,Female Total Workers,"59,950","71,635",Male Median Earnings
"    Compensation, benefits, and job analysis specialists",43071,13089,Female Total Workers,"57,693","70,538",Male Median Earnings
    Training and development specialists,68035,56690,Female Total Workers,"57,935","70,326",Male Median Earnings
    Logisticians,43730,84767,Male Total Workers,"51,141","59,062",Male Median Earnings
    Project management specialists,257698,355713,Male Total Workers,"80,670","96,332",Male Median Earnings
    Management analysts,296476,404630,Male Total Workers,"81,526","97,376",Male Median Earnings
"    Meeting, convention, and event planners",74930,21238,Female Total Workers,"52,320","51,093",Female Median Earnings
    Fundraisers,50323,21527,Female Total Workers,"68,805","77,119",Male Median Earnings
    Market research analysts and marketing specialists,158739,116208,Female Total Workers,"66,710","81,430",Male Median Earnings
"    Business operations specialists, all other",156447,134988,Female Total Workers,"57,867","78,187",Male Median Earnings
    Accountants and auditors,949574,656082,Female Total Workers,"63,289","81,082",Male Median Earnings
    Property appraisers and assessors,27707,49972,Male Total Workers,"52,429","70,226",Male Median Earnings
    Budget analysts,28794,17358,Female Total Workers,"75,838","85,944",Male Median Earnings
    Credit analysts,15931,13711,Female Total Workers,"57,191","70,556",Male Median Earnings
    Financial and investment analysts,91686,134268,Male Total Workers,"80,310","94,569",Male Median Earnings
    Personal financial advisors,104876,247341,Male Total Workers,"73,079","116,027",Male Median Earnings
    Insurance underwriters,65088,39371,Female Total Workers,"62,352","78,075",Male Median Earnings
    Financial examiners,7833,8579,Male Total Workers,"76,096","92,233",Male Median Earnings
    Credit counselors and loan officers,164830,139336,Female Total Workers,"54,192","82,163",Male Median Earnings
"    Tax examiners and collectors, and revenue agents",31606,18062,Female Total Workers,"53,882","66,396",Male Median Earnings
    Tax preparers,29933,22757,Female Total Workers,"50,034","70,758",Male Median Earnings
    Other financial specialists,34287,30300,Female Total Workers,"55,251","92,387",Male Median Earnings
    Computer and information research scientists,5752,16618,Male Total Workers,"100,083","116,462",Male Median Earnings
    Computer systems analysts,196460,302606,Male Total Workers,"76,976","88,070",Male Median Earnings
    Information security analysts,18742,87051,Male Total Workers,"91,695","102,738",Male Median Earnings
    Computer programmers,69744,268176,Male Total Workers,"86,284","92,674",Male Median Earnings
    Software developers,220621,1056304,Male Total Workers,"100,747","113,370",Male Median Earnings
    Software quality assurance analysts and testers,35333,55312,Male Total Workers,"85,759","93,747",Male Median Earnings
    Web developers,26501,65439,Male Total Workers,"61,589","74,794",Male Median Earnings
    Web and digital interface designers,20364,30161,Male Total Workers,"58,559","64,910",Male Median Earnings
    Computer support specialists,144095,438421,Male Total Workers,"57,047","62,882",Male Median Earnings
    Database administrators and architects,37411,73915,Male Total Workers,"72,070","97,516",Male Median Earnings
    Network and computer systems administrators,35282,168226,Male Total Workers,"70,809","78,198",Male Median Earnings
    Computer network architects,7788,94051,Male Total Workers,"98,372","101,641",Male Median Earnings
"    Computer occupations, all other",157572,481888,Male Total Workers,"64,688","73,927",Male Median Earnings
    Actuaries,9636,19651,Male Total Workers,"114,494","130,529",Male Median Earnings
    Mathematicians,469,1802,Male Total Workers,"95,352","125,047",Male Median Earnings
    Operations research analysts,68834,70950,Male Total Workers,"78,407","91,086",Male Median Earnings
    Statisticians,18973,21806,Male Total Workers,"86,856","98,628",Male Median Earnings
